,0
0,0.029629885940014474
1,0.31512831469351127
2,1.6795980786938354
3,6.0790942787351785
4,17.046007493943087
5,39.910561089436214
6,81.80868376114451
7,151.522300772808
8,259.19342211337585
9,415.9487903840861
10,633.4674220368098
11,923.5191747339433
12,1297.4984122265303
13,1765.9729165834901
14,2338.264517390575
15,3022.0744929732846
16,3823.1636009433078
17,4745.093656994528
18,5789.03503751278
19,6953.642181794132
20,8234.996953126747
21,9626.61788001479
22,11119.531867046782
23,12702.403654603779
24,14361.717254677584
25,16082.002897664706
26,17846.10249104763
27,19635.466156763505
28,21430.472121406427
29,23210.762181520447
30,24955.585211246034
31,26644.141547143303
32,28255.921495617808
33,29771.031736717767
34,31170.503979411555
35,32436.580778558047
36,33552.974075635735
37,34505.09291658384
38,35280.23780304722
39,35867.760000855094
40,36259.18474518952
41,36448.29769710993
42,36431.194442930704
43,36206.29344403736
44,35774.31356419217
45,35138.217963052084
46,34303.12664642419
47,33276.20034645609
48,32066.49873696134
49,30684.816253006844
50,29143.498999771396
51,27456.246390993918
52,25637.901199539916
53,23704.23168511473
54,21671.709380694418
55,19557.285930093763
56,17378.17216640407
57,15151.622455039078
58,12894.727144510869
59,10624.215752942593
60,8356.273316957806
61,6106.372111356437
62,3889.120527253586
63,1718.1303220493303
64,-394.096957668884
65,-2436.2638450026284
66,-4398.350878844144
67,-6271.670606065513
68,-8048.901911464806
69,-9724.105221219183
70,-11292.719279413059
71,-12751.540234618466
72,-14098.684008465983
73,-15333.533311981184
74,-16456.670981428786
75,-17469.80146482615
76,-18375.662302368844
77,-19177.92734956033
78,-19881.103436960373
79,-20490.42216216674
80,-21011.72842458604
81,-21451.36719763056
82,-21816.07008493332
83,-22112.84333125345
84,-22348.858873425586
85,-22531.34974669034
86,-22667.51099091868
87,-22764.40714980021
88,-22828.88732347605
89,-22867.508501861696
90,-22886.467651355324
91,-22891.542845149528
92,-22888.043685471217
93,-22880.771245012562
94,-22873.98763010896
95,-22871.395083586893
96,-22876.124369006615
97,-22890.732017739258
98,-22917.20588828066
99,-22956.978387593113
100,-23010.946598732695
101,-23079.498488228677
102,-23162.544394366563
103,-23259.553060807113
104,-23369.59151358997
105,-23491.368086872146
106,-23623.277857251047
107,-23763.449678422483
108,-23909.794057537645
109,-24060.05122705112
110,-24211.838776168388
111,-24362.698215874814
112,-24510.139887864294
113,-24651.68557944396
114,-24784.908241182173
115,-24907.468385736396
116,-25017.14689055593
117,-25111.874026345748
118,-25189.75459653929
119,-25249.089048442336
120,-25288.39040079699
